127.0.0.1 - - [26/Mar/2024:17:30:27 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:30:29 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:30:29 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:05 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/product-images/dhimey.jpg HTTP/1.1" 200 9732
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/product-images/bhusay.jpg HTTP/1.1" 200 23288
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/product-images/sanodhimey.jpeg HTTP/1.1" 200 718368
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/product-images/kheen.jpg HTTP/1.1" 200 1017141
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:08 +0545] "GET /Ecommerce/product-images/Taa.jpg HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:10 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:41 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:43 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:45 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:47 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:58 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:31:59 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:32:00 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:32:01 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:32:03 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:33:34 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [26/Mar/2024:17:33:45 +0545] "GET /Ecommerce/cartServlet?id=1 HTTP/1.1" 500 1301
