127.0.0.1 - - [02/Apr/2024:18:56:36 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/product-images/dhimey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/product-images/Taa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/product-images/sanodhimey.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/product-images/bhusay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /Ecommerce/product-images/kheen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:38 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:43 +0545] "GET /Ecommerce/cartServlet?id=4 HTTP/1.1" 500 1301
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:45 +0545] "GET /Ecommerce/cartServlet?id=4 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:46 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:48 +0545] "POST /Ecommerce/OrderNowServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:48 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:59 +0545] "POST /Ecommerce/user-LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:56:59 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:02 +0545] "GET /Ecommerce/cartServlet?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:02 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:04 +0545] "GET /Ecommerce/cartServlet?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:04 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:05 +0545] "GET /Ecommerce/cartServlet?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:05 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:08 +0545] "GET /Ecommerce/cartServlet?id=4 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:10 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:12 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:12 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:12 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:13 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:14 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:14 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:15 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:15 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:15 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:15 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6764
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:17 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=dec&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:17 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:18 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=dec&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:18 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:19 +0545] "GET /Ecommerce/removeCartServlet?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:19 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:23 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:25 +0545] "GET /Ecommerce/removeCartServlet?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:25 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:28 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:29 +0545] "GET /Ecommerce/removeCartServlet?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:29 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:32 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:33 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:33 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:33 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:33 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:35 +0545] "GET /Ecommerce/removeCartServlet?id=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:38 +0545] "GET /Ecommerce/removeCartServlet?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:38 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 5806
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:39 +0545] "GET /Ecommerce/removeCartServlet?id=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:42 +0545] "GET /Ecommerce/removeCartServlet?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:42 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:43 +0545] "GET /Ecommerce/removeCartServlet?id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:45 +0545] "GET /Ecommerce/removeCartServlet?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:18:57:45 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3893
